Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Block,Age,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
DL3-32,32,17,10,16,Drain,Low,z,1,20,100,50,18,78,29
DL2-32,32,6,10,2,Drain,Low,y,1,20,100,50,18,78,29
IL1-32,32,10,10,2,Inflow,Low,x,1,20,100,50,18,78,29
IL3-32,32,8,10,2,Inflow,Low,z,1,20,100,50,18,78,29
IL2-32,32,8,10,2,Inflow,Low,y,1,20,100,50,18,78,29
DN1-32,32,10,10,17,Drain,No,x,1,4,10,2,4,10,8
DN3-32,32,4,10,2,Drain,No,z,1,4,10,2,4,10,8
DN2-32,32,4,10,2,Drain,No,y,1,4,10,2,4,10,8
IN3-32,32,5,10,2,Inflow,No,z,1,4,10,2,4,10,8
IN1-32,32,4,10,2,Inflow,No,x,1,4,10,2,4,10,8
DH2-33,33,52,389,980,Drain,High,y,2,80,500,960,72,453,441
DH3-33,33,31,54,541,Drain,High,z,2,80,500,960,72,453,441
DH1-33,33,19,21,206,Drain,High,x,2,80,500,960,72,453,441
IH2-33,33,26,10,262,Inflow,High,y,2,80,500,960,72,453,441
IH3-33,33,21,13,489,Inflow,High,z,2,80,500,960,72,453,441
IH1-33,33,15,16,193,Inflow,High,x,2,80,500,960,72,453,441
DL1-33,33,14,12,16,Drain,Low,x,2,20,100,50,18,78,29
DL2-33,33,13,10,13,Drain,Low,y,2,20,100,50,18,78,29
DL3-33,33,12,10,18,Drain,Low,z,2,20,100,50,18,78,29
IL3-33,33,9,10,16,Inflow,Low,z,2,20,100,50,18,78,29
IL1-33,33,7,10,2,Inflow,Low,x,2,20,100,50,18,78,29
IL2-33,33,6,10,7,Inflow,Low,y,2,20,100,50,18,78,29
DN1-33,33,17,10,17,Drain,No,x,2,4,10,2,4,10,8
DN2-33,33,4,10,3,Drain,No,y,2,4,10,2,4,10,8
DN3-33,33,4,10,2,Drain,No,z,2,4,10,2,4,10,8
IN2-33,33,4,10,3,Inflow,No,y,2,4,10,2,4,10,8
